ISBN	SELO	EDIÇÃO	VOLUME / SÉRIE	DISCIPLINA	SEGMENTO	COLEÇÃO	OBRA	AUTOR	CATEGORIA
9788535711912	ATUAL	2	1º Ano	Inglês	Atlas/Dicionários	Dicionarios	DICIONARIO ILUSTRADO JUNIOR ING/PORT PORT/ING	"TELMA GUIMARAES CASTRO ANDRADE; TERRENCE EDWARD HILL"	Didático
9788502618497	SARAIVA	1	1º Ano	Dicionários	Atlas/Dicionários	Dicionarios	MEU PRIMEIRO DICIONÁRIO Saraiva DA LINGUA PORTUGUESA ILUSTRADO	Saraiva	Didático
9788502077751	SARAIVA	7	1º Ano	Inglês	Atlas/Dicionários	Dicionarios	MINIDICIONARIO ANTONIO OLINTO ING/PORT PORT/ING	ANTÔNIO OLINTO	Didático
9788502137561	SARAIVA	8	1º Ano	ESPANHOL	Atlas/Dicionários	Dicionarios	MINIDICIONARIO ESPANHOL	Saraiva	Didático
9788502616127	SARAIVA	20	1º Ano	Dicionários	Atlas/Dicionários	Dicionarios	MINIDICIONARIO SOARES AMORA	SOARES AMORA	Didático
9788502161337	SARAIVA	3	1º Ano	Dicionários	Atlas/Dicionários	Dicionarios	Saraiva INFANTIL DE A A Z - DICIONARIO DE LINGUA PORTUGUES ILUSTRADO	Saraiva	Didático
9788502092068	SARAIVA	1	1º Ano	Dicionários	Atlas/Dicionários	Dicionarios	Saraiva JOVEM -  DICIONARIO DE LINGUA PORTUGUES ILUSTRADO	Saraiva	Didático
9788502079885	SARAIVA	3	1º Ano	Dicionários	Atlas/Dicionários	Dicionarios	Saraiva JUNIOR DICIONARIO DE LINGUA PORTUGUESA ILUSTRADO	Saraiva	Didático
9788508158157	ÁTICA	36	VU	Atlas	Atlas/Dicionários	Atlas Geográfico Escolar	ATLAS GEOGRÁFICO ESCOLAR	Maria Elena Simielli	Didático
9788508127641	ÁTICA	5	VU	Dicionários	Atlas/Dicionários	Dicionário Prático De Regência Nominal	DICIONÁRIO PRÁTICO DE REGÊNCIA NOMINAL	Celso Pedro Luft	Didático
9788508127634	ÁTICA	1	VU	Dicionários	Atlas/Dicionários	Dicionário Prático De Regência Verbal	DICIONÁRIO PRÁTICO DE REGÊNCIA VERBAL	Celso Pedro Luft	Didático
9788508126835	ÁTICA	3	VU	Dicionários	Atlas/Dicionários	Dicionários	DICIONÁRIO INGLÊS/PORTUGUÊS - PORTUGUÊS/INGLÊS	Amadeu Marques	Didático
