								
																	
ISBN	SELO	EDIÇÃO	VOLUME / SÉRIE	DISCIPLINA	SEGMENTO	COLEÇÃO	OBRA	AUTOR									
9788535711912	ATUAL	2	1º Ano	Inglês	Atlas/Dicionários	DICIONARIOS	DICIONARIO ILUSTRADO JUNIOR ING/PORT PORT/ING	"TELMA GUIMARAES CASTRO ANDRADE; TERRENCE EDWARD HILL"									
9788502618497	SARAIVA	1	1º Ano	Dicionários	Atlas/Dicionários	DICIONARIOS	MEU PRIMEIRO DICIONÁRIO Saraiva DA LINGUA PORTUGUESA ILUSTRADO	Saraiva									
9788502077751	SARAIVA	7	1º Ano	Inglês	Atlas/Dicionários	DICIONARIOS	MINIDICIONARIO ANTONIO OLINTO ING/PORT PORT/ING	ANTÔNIO OLINTO									
9788502137561	SARAIVA	8	1º Ano	ESPANHOL	Atlas/Dicionários	DICIONARIOS	MINIDICIONARIO ESPANHOL	Saraiva									
9788502616127	SARAIVA	20	1º Ano	Dicionários	Atlas/Dicionários	DICIONARIOS	MINIDICIONARIO SOARES AMORA	SOARES AMORA									
9788502161337	SARAIVA	3	1º Ano	Dicionários	Atlas/Dicionários	DICIONARIOS	Saraiva INFANTIL DE A A Z - DICIONARIO DE LINGUA PORTUGUES ILUSTRADO	Saraiva									
9788502092068	SARAIVA	1	1º Ano	Dicionários	Atlas/Dicionários	DICIONARIOS	Saraiva JOVEM -  DICIONARIO DE LINGUA PORTUGUES ILUSTRADO	Saraiva									
9788502079885	SARAIVA	3	1º Ano	Dicionários	Atlas/Dicionários	DICIONARIOS	Saraiva JUNIOR DICIONARIO DE LINGUA PORTUGUESA ILUSTRADO	Saraiva									
9788508158157	ÁTICA	36	VU	Atlas	Atlas/Dicionários	Atlas Geográfico Escolar	ATLAS GEOGRÁFICO ESCOLAR	Maria Elena Simielli									
9788508127641	ÁTICA	5	VU	Dicionários	Atlas/Dicionários	Dicionário Prático De Regência Nominal	DICIONÁRIO PRÁTICO DE REGÊNCIA NOMINAL	Celso Pedro Luft									
9788508127634	ÁTICA	1	VU	Dicionários	Atlas/Dicionários	Dicionário Prático De Regência Verbal	DICIONÁRIO PRÁTICO DE REGÊNCIA VERBAL	Celso Pedro Luft									
9788508126835	ÁTICA	3	VU	Dicionários	Atlas/Dicionários	Dicionários	DICIONÁRIO INGLÊS/PORTUGUÊS - PORTUGUÊS/INGLÊS	Amadeu Marques									
9788508121052	ÁTICA	19	VU	Dicionários	Atlas/Dicionários	Dicionários	MINIDICIONÁRIO ESPANHOL/PORTUGUÊS - PORTUGUÊS	Eugenia Flavian e Gretel Eres Fernández									
9788508126316	ÁTICA	22	VU	Dicionários	Atlas/Dicionários	Dicionários De Usos Do Português Do Brasil	MINIDICIONÁRIO LUFT	Celso Pedro Luft									
9788508158119	ÁTICA	34	VU	Atlas	Atlas/Dicionários	Geoatlas	GEOATLAS - BROCHURA	Maria Elena Simielli									
9788508158133	ÁTICA	23	VU	Atlas	Atlas/Dicionários	Geoatlas Básico	GEOATLAS BÁSICO	Maria Elena Simielli									
9788508045808	ÁTICA	6	VU	Dicionários	Atlas/Dicionários	Minidicionário Francês/Português-Português/Frances	MINIDICIONÁRIO FRANCÊS/PORTUGUÊS - PORTUGUÊS	João Teodoro D’Olim Marote									
9788508165254	ÁTICA	2	Pré 2	Inglês	Educação Infantil	Hello	HELLO! - PRE BOOK	Eliete Morino e Rita Faria									
9788508165230	ÁTICA	2	Pré 1	Inglês	Educação Infantil	Hello	HELLO! - PRE BOOK	Eliete Morino e Rita Faria									
9788508165278	ÁTICA	2	Pré 3	Inglês	Educação Infantil	Hello	HELLO! - PRE BOOK	Eliete Morino e Rita Faria									
2460345	ÁTICA	1	Pré 2	Espanhol	Educação Infantil	Muy Bien	¡MUY BIEN!	Priscila Oliveira Vieira									
2460338	ÁTICA	1	Pré 1	Espanhol	Educação Infantil	Muy Bien	¡MUY BIEN!	Priscila Oliveira Vieira									
9788508165179	ÁTICA	1	Pré 1	Integrado	Educação Infantil	Projeto Ápis	PROJETO ÁPIS - EDUCAÇÃO INFANTIL 1	Luiz Roberto Dante e Noemi Bianchini									
9788508165193	ÁTICA	1	Pré 2	Integrado	Educação Infantil	Projeto Ápis	PROJETO ÁPIS - EDUCAÇÃO INFANTIL 2	Luiz Roberto Dante e Noemi Bianchini									
9788508165216	ÁTICA	1	Pré 3	Integrado	Educação Infantil	Projeto Ápis	PROJETO ÁPIS - EDUCAÇÃO INFANTIL 3	Luiz Roberto Dante e Noemi Bianchini									
